order_id,order_date,region,customer_id,product,category,quantity,unit_price,revenue,cost,profit
ORD-00001,2025-10-16,South,CUST-0119,Mouse,Accessories,1,40.01,40.01,15,25.01
ORD-00002,2025-07-26,South,CUST-0116,Mouse,Accessories,5,37.27,186.35,75,111.35
ORD-00003,2025-01-14,West,CUST-0091,Monitor,Electronics,1,288.24,288.24,180,108.24
ORD-00004,2025-08-10,South,CUST-0015,Office Chair,Furniture,4,252.12,1008.48,480,528.48
ORD-00005,2025-12-31,North,CUST-0119,Mouse,Accessories,5,40.61,203.05,75,128.05
ORD-00006,2025-04-28,North,CUST-0056,Headphones,Accessories,3,107.21,321.63,105,216.63
ORD-00007,2025-05-02,South,CUST-0111,Mouse,Accessories,3,41.33,123.99,45,78.99
ORD-00008,2025-02-11,South,CUST-0034,Monitor,Electronics,1,313.65,313.65,180,133.65
ORD-00009,2025-09-07,South,CUST-0090,Printer,Electronics,4,218.67,874.68,360,514.68
ORD-00010,2025-02-25,West,CUST-0101,Mouse,Accessories,2,37.16,74.32,30,44.32
ORD-00011,2025-02-15,East,CUST-0106,Laptop,Electronics,6,931.53,5589.18,3900,1689.18
ORD-00012,2025-02-17,South,CUST-0062,Printer,Electronics,3,229.83,689.49,270,419.49
ORD-00013,2025-06-03,West,CUST-0106,Monitor,Electronics,7,322.27,2255.89,1260,995.89
ORD-00014,2025-09-08,North,CUST-0025,Mouse,Accessories,6,39.41,236.46,90,146.46
ORD-00015,2025-10-01,West,CUST-0141,Monitor,Electronics,6,319.07,1914.42,1080,834.42
ORD-00016,2025-01-24,South,CUST-0029,Monitor,Electronics,6,286.49,1718.94,1080,638.94
ORD-00017,2025-12-22,South,CUST-0107,Laptop,Electronics,6,869.89,5219.34,3900,1319.34
ORD-00018,2025-11-13,West,CUST-0040,Laptop,Electronics,6,930.43,5582.58,3900,1682.58
ORD-00019,2025-09-28,South,CUST-0099,Laptop,Electronics,2,937.08,1874.16,1300,574.16
ORD-00020,2025-02-06,North,CUST-0106,Printer,Electronics,7,215.91,1511.37,630,881.37
ORD-00021,2025-04-11,East,CUST-0122,Mouse,Accessories,5,39.22,196.1,75,121.1
ORD-00022,2025-07-29,West,CUST-0100,Headphones,Accessories,2,99.05,198.1,70,128.1
ORD-00023,2025-09-26,North,CUST-0070,Printer,Electronics,4,212.97,851.88,360,491.88
ORD-00024,2025-11-02,West,CUST-0138,Headphones,Accessories,6,93.11,558.66,210,348.66
ORD-00025,2025-06-13,West,CUST-0117,Headphones,Accessories,5,93.34,466.7,175,291.7
ORD-00026,2025-01-24,South,CUST-0148,Desk,Furniture,4,365.29,1461.16,600,861.16
ORD-00027,2025-05-24,West,CUST-0131,Monitor,Electronics,1,293.79,293.79,180,113.79
ORD-00028,2025-08-15,East,CUST-0124,Headphones,Accessories,1,92.0,92.0,35,57.0
ORD-00029,2025-07-07,North,CUST-0049,Headphones,Accessories,1,105.75,105.75,35,70.75
ORD-00030,2025-10-25,West,CUST-0044,Desk,Furniture,5,364.25,1821.25,750,1071.25
ORD-00031,2025-01-03,East,CUST-0030,Printer,Electronics,5,203.36,1016.8,450,566.8
ORD-00032,2025-12-14,West,CUST-0023,Office Chair,Furniture,2,268.46,536.92,240,296.92
ORD-00033,2025-09-12,South,CUST-0035,Desk,Furniture,6,342.83,2056.98,900,1156.98
ORD-00034,2025-05-11,South,CUST-0054,Headphones,Accessories,2,101.43,202.86,70,132.86
ORD-00035,2025-09-14,West,CUST-0060,Mouse,Accessories,7,41.27,288.89,105,183.89
ORD-00036,2025-04-20,South,CUST-0128,Office Chair,Furniture,6,264.17,1585.02,720,865.02
ORD-00037,2025-10-06,North,CUST-0029,Office Chair,Furniture,3,237.82,713.46,360,353.46
ORD-00038,2025-12-09,East,CUST-0063,Keyboard,Accessories,2,57.27,114.54,50,64.54
ORD-00039,2025-08-10,South,CUST-0056,Printer,Electronics,1,212.73,212.73,90,122.73
ORD-00040,2025-10-08,South,CUST-0104,Headphones,Accessories,1,107.42,107.42,35,72.42
ORD-00041,2025-03-26,South,CUST-0074,Headphones,Accessories,3,98.58,295.74,105,190.74
ORD-00042,2025-12-04,West,CUST-0119,Laptop,Electronics,2,884.96,1769.92,1300,469.92
ORD-00043,2025-04-28,North,CUST-0025,Printer,Electronics,1,206.58,206.58,90,116.58
ORD-00044,2025-06-07,North,CUST-0070,Laptop,Electronics,3,852.68,2558.04,1950,608.04
ORD-00045,2025-08-25,East,CUST-0084,Headphones,Accessories,3,97.88,293.64,105,188.64
ORD-00046,2025-01-01,East,CUST-0019,Mouse,Accessories,5,38.85,194.25,75,119.25
ORD-00047,2025-10-01,South,CUST-0009,Monitor,Electronics,7,289.84,2028.88,1260,768.88
ORD-00048,2025-01-12,East,CUST-0129,Printer,Electronics,4,236.43,945.72,360,585.72
ORD-00049,2025-01-22,South,CUST-0066,Headphones,Accessories,6,96.07,576.42,210,366.42
ORD-00050,2025-08-03,South,CUST-0006,Headphones,Accessories,2,102.34,204.68,70,134.68
ORD-00051,2025-11-09,West,CUST-0067,Laptop,Electronics,3,866.44,2599.32,1950,649.32
ORD-00052,2025-08-02,West,CUST-0036,Mouse,Accessories,5,39.3,196.5,75,121.5
ORD-00053,2025-11-22,East,CUST-0050,Monitor,Electronics,5,281.04,1405.2,900,505.2
ORD-00054,2025-07-15,South,CUST-0057,Desk,Furniture,6,328.32,1969.92,900,1069.92
ORD-00055,2025-07-10,East,CUST-0142,Mouse,Accessories,1,43.12,43.12,15,28.12
ORD-00056,2025-12-06,East,CUST-0098,Mouse,Accessories,2,39.94,79.88,30,49.88
ORD-00057,2025-06-13,North,CUST-0131,Keyboard,Accessories,4,63.81,255.24,100,155.24
ORD-00058,2025-07-26,East,CUST-0079,Office Chair,Furniture,5,257.04,1285.2,600,685.2
ORD-00059,2025-10-21,East,CUST-0083,Keyboard,Accessories,6,62.05,372.3,150,222.3
ORD-00060,2025-11-29,East,CUST-0044,Office Chair,Furniture,3,230.87,692.61,360,332.61
ORD-00061,2025-04-27,East,CUST-0150,Printer,Electronics,5,208.94,1044.7,450,594.7
ORD-00062,2025-09-26,West,CUST-0017,Printer,Electronics,5,218.68,1093.4,450,643.4
ORD-00063,2025-01-02,South,CUST-0094,Keyboard,Accessories,2,56.59,113.18,50,63.18
ORD-00064,2025-02-10,West,CUST-0133,Office Chair,Furniture,7,267.64,1873.48,840,1033.48
ORD-00065,2025-07-06,South,CUST-0105,Mouse,Accessories,1,37.87,37.87,15,22.87
ORD-00066,2025-05-28,East,CUST-0027,Desk,Furniture,5,355.33,1776.65,750,1026.65
ORD-00067,2025-07-12,South,CUST-0038,Monitor,Electronics,3,294.82,884.46,540,344.46
ORD-00068,2025-09-30,South,CUST-0104,Headphones,Accessories,6,104.91,629.46,210,419.46
ORD-00069,2025-04-08,West,CUST-0023,Monitor,Electronics,4,319.33,1277.32,720,557.32
ORD-00070,2025-07-20,West,CUST-0082,Mouse,Accessories,6,41.41,248.46,90,158.46
ORD-00071,2025-02-15,East,CUST-0018,Keyboard,Accessories,6,59.25,355.5,150,205.5
ORD-00072,2025-09-14,West,CUST-0126,Monitor,Electronics,1,316.92,316.92,180,136.92
ORD-00073,2025-09-14,South,CUST-0130,Headphones,Accessories,6,103.64,621.84,210,411.84
ORD-00074,2025-12-26,West,CUST-0032,Laptop,Electronics,6,901.66,5409.96,3900,1509.96
ORD-00075,2025-07-25,East,CUST-0024,Mouse,Accessories,3,39.38,118.14,45,73.14
ORD-00076,2025-07-13,West,CUST-0098,Desk,Furniture,7,367.28,2570.96,1050,1520.96
